file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-L-2017_2017-P_P-D_D-B02_B02-2_2-R_R-01_0029_281817_to_285708,ང་སང་ཉིན་ལེ་མཱན་ཇུའི་སྀ། ང་འཐོམ་བསྡད་ཀྱི་རཱ། ཁྱོད་རང་ཟ། འཐུང་བསྡད་ལོ།  ,nga sang nyin le mAn ju'i s-i/_nga 'thom bsdad kyi rA/_khyod rang za/_'thung bsdad lo/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-P_P-D_D-B02_B02-2_2-R_R-01_0029_281817_to_285708.wav,STT_CS,3,71,3.891,wav16k/STT_CS-L-2017_2017-P_P-D_D-B02_B02-2_2-R_R-01_0029_281817_to_285708.wav,ང་སང་ཉིན་ལ་མཱན་ཇུ་སྀང་། ང་འཐོམ་བསྡད་ཀྱི་རཱ། ཁྱོད་རང་གཟའ་བཏུང་བསྡད་ལོ།
STT_CS-D-2015-M-D-B04-4-R-01_0052_335955_to_338173,སློབ་སྦྱོང་ཡག་པོ་ཉན་གི་ཡོད་མ་རེད་ད་རཱ།  ,slob sbyong yag po nyan gi yod ma red da rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2015-M-D-B04-4-R-01_0052_335955_to_338173.wav,STT_CS,3,40,2.218,wav16k/STT_CS-D-2015-M-D-B04-4-R-01_0052_335955_to_338173.wav,སློབ་སྦྱོང་ཡག་པོ་མྱང་གི་ཡོད་མ་རེད་ད་རཱ།
STT_CS-D-2017-P-D-B01-1-R-07_0022_167641_to_170947,ཨེ་ནས་ཁོ་ཡིས་ཟ་རེད་ད། ཁོ་ཏོག་ཙི།  ,e nas kho yis za red da/_kho tog tsi/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2017-P-D-B01-1-R-07_0022_167641_to_170947.wav,STT_CS,3,34,3.306,wav16k/STT_CS-D-2017-P-D-B01-1-R-07_0022_167641_to_170947.wav,ཨེ་ནས་ཁོ་ཡིས་ཟ་རེད་ད། ཁོ་ཏིག་ཙི་
STT_TT00435_00588.700-00591.250,ང་རང་རང་དབང་གིས་ཚུལ་ཁྲིམས་ཀི་ལྟུང་བ་འགོས་པ་དང་སྐྱོན་ལྷག་པའི་ཟོལ་འདྲའི་མ་རེད།  ,nga rang rang dbang gis tshul khrims ki ltung ba 'gos pa dang skyon lhag pa'i zol 'dra'i ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00435_00588.700-00591.250.wav,STT_TT,3,78,2.5499999999999545,wav16k/STT_TT00435_00588.700-00591.250.wav,ང་རང་རང་དབང་གིས་ཚུལ་ཁྲིམས་ཀི་ལྟ་བ་རྒུད་པ་དང་། སྐྱོན་ལྷག་པའི་ཟོལ་འདྲའི་མ་ེད།
STT_NS_M0197_0117_1554852_to_1557545,གདན་རྡབ་རྡབ་བཏང་ཡ་དང་། ཨེ་ནས་ཉལ་ས་གཙང་མ་བཟོ་ཡ་དང།  ,gdan rdab rdab btang ya dang /_e nas nyal sa gtsang ma bzo ya dang/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0197_0117_1554852_to_1557545.wav,STT_NS,3,51,2.693,wav16k/STT_NS_M0197_0117_1554852_to_1557545.wav,གདན་རྡབ་རྡབ་གཏང་ཡ་དང་ཨེ་ནས་ཉལ་ས་གཙང་མ་བཟོ་ཡ་དང་།
STT_CS-D-2018-M-D-B01-1-R-02_0087_582704_to_584769,གཏིང་རེད་ད་ཡོད་བ།  ,gting red da yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2018-M-D-B01-1-R-02_0087_582704_to_584769.wav,STT_CS,3,19,2.065,wav16k/STT_CS-D-2018-M-D-B01-1-R-02_0087_582704_to_584769.wav,བཏིང་རེད་ད་ཡོད་བ།
STT_CS-D-2017-P-D-B01-1-R-07_0067_948018_to_950874,རྗེས་རྗེས་ན་ཁོ་ཡི་གེ་འབྲི་བསྡད་གི་ཡོད་རེད་ད་ཡི་གེ ,rjes rjes na kho yi ge 'bri bsdad gi yod red da yi ge_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2017-P-D-B01-1-R-07_0067_948018_to_950874.wav,STT_CS,3,50,2.856,wav16k/STT_CS-D-2017-P-D-B01-1-R-07_0067_948018_to_950874.wav,མཛེས་བསྡེས་ནས་སྒོ་ཡི་གེ་སབྲད་བསྡད་ཀྱི་ཡོད་རེད་ད། ཡི་གེ
STT_TT00042_05846.400-05848.900,མུ་སྟེགས་པའི་གཞུང་དེ་ཚོ་མང་པོ། ལྷ་མིའི་ཐེག་པ་འདྲ་བོ་རེད།  ,mu stegs pa'i gzhung de tsho mang po/_lha mi'i theg pa 'dra bo red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00042_05846.400-05848.900.wav,STT_TT,3,58,2.5,wav16k/STT_TT00042_05846.400-05848.900.wav,མུ་སྟེགས་པའི་གཞུང་དེ་ཚོ་མང་པོ་ལྷ་མིའི་ཐེག་པ་འདྲ་བོ་རེད།
STT_NS_M0200_0484_3317593_to_3319854,སེམས་ཅན་འདྲ་བོ་དང་མཐོང་ཡ་འདུག་བ།  ,sems can 'dra bo dang mthong ya 'dug ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0200_0484_3317593_to_3319854.wav,STT_NS,3,34,2.261,wav16k/STT_NS_M0200_0484_3317593_to_3319854.wav,སེམས་ཅན་འདྲ་བོ་དང་མཐོང་ཡ་འདུག་བ།
STT_CS-D-2011-M-D-B04-6-R-01_0202_1268876_to_1271361,མི་གཉིས་ཞིག་མོ་ཊ་བཏང་བསྡད་ཡོད་རེད་ད་ཡོད་བ། ཁོ་གཉིས་ལམ་ཁ་མཉམ་དུ།  ,mi gnyis zhig mo Ta btang bsdad yod red da yod ba/_kho gnyis lam kha mnyam du/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-D-2011-M-D-B04-6-R-01_0202_1268876_to_1271361.wav,STT_CS,3,65,2.485,wav16k/STT_CS-D-2011-M-D-B04-6-R-01_0202_1268876_to_1271361.wav,མི་གཉིས་ཀ་ཅི་མོ་ཊ་བཏང་བསྡད་ཡོད་རེད་ད་ཡོད་བ། ཁོ་གཉིས་ལམ་ཁ་མཉམ་དུ།
